address,borocode
6821 NARROWS AVENUE,3
81 74 STREET,3
101 73 STREET,3
61 70 STREET,3
7424 COLONIAL ROAD,3
95 72 STREET,3
58 BAY RIDGE AVENUE,3
6817 NARROWS AVENUE,3
58A BAY RIDGE AVENUE,3
7420 COLONIAL ROAD,3
88 74 STREET,3
108 73 STREET,3
102 72 STREET,3
82 71 STREET,3
77 71 STREET,3
6815 NARROWS AVENUE,3
7418 COLONIAL ROAD,3
7621 COLONIAL ROAD,3
73 STREET,3
63 70 STREET,3
103 73 STREET,3
97 72 STREET,3
6811 NARROWS AVENUE,3
7619 COLONIAL ROAD,3
7414 COLONIAL ROAD,3
72 MACKAY PLACE,3
6809 NARROWS AVENUE,3
85 74 STREET,3
76 70 STREET,3
7617 COLONIAL ROAD,3
7412 COLONIAL ROAD,3
104 72 STREET,3
79 71 STREET,3
60 BAY RIDGE AVENUE,3
110 73 STREET,3
84 71 STREET,3
7615 COLONIAL ROAD,3
6805 NARROWS AVENUE,3
105 73 STREET,3
65 70 STREET,3
7408 COLONIAL ROAD,3
99 72 STREET,3
65 MACKAY PLACE,3
7611 COLONIAL ROAD,3
6801 NARROWS AVENUE,3
7404 COLONIAL ROAD,3
7609 COLONIAL ROAD,3
112 73 STREET,3
106 72 STREET,3
86 71 STREET,3
81 71 STREET,3
7607 COLONIAL ROAD,3
7402 COLONIAL ROAD,3
107 73 STREET,3
89 74 STREET,3
63 BAY RIDGE AVENUE,3
101 72 STREET,3
7603 COLONIAL ROAD,3
67 70 STREET,3
74 MACKAY PLACE,3
7601 COLONIAL ROAD,3
108 72 STREET,3
83 71 STREET,3
107A 73 STREET,3
88 71 STREET,3
66 BAY RIDGE AVENUE,3
78 70 STREET,3
103 72 STREET,3
69 70 STREET,3
65 BAY RIDGE AVENUE,3
76 MACKAY PLACE,3
91 74 STREET,3
7523 COLONIAL ROAD,3
109 73 STREET,3
110 72 STREET,3
90 71 STREET,3
85 71 STREET,3
7519 COLONIAL ROAD,3
73 STREET,3
105 72 STREET,3
71 MACKAY PLACE,3
74 BAY RIDGE AVENUE,3
78 MACKAY PLACE,3
71 70 STREET,3
114 76 STREET,3
7517 COLONIAL ROAD,3
67 BAY RIDGE AVENUE,3
7310 COLONIAL ROAD,3
112 72 STREET,3
87 71 STREET,3
7515 COLONIAL ROAD,3
111 73 STREET,3
92 71 STREET,3
66 68 STREET,3
93 74 STREET,3
7511 COLONIAL ROAD,3
73 MACKAY PLACE,3
76 BAY RIDGE AVENUE,3
73 70 STREET,3
7509 COLONIAL ROAD,3
7306 COLONIAL ROAD,3
80 MACKAY PLACE,3
82 70 STREET,3
7304 COLONIAL ROAD,3
71 BAY RIDGE AVENUE,3
7507 COLONIAL ROAD,3
114 72 STREET,3
94 71 STREET,3
7302 COLONIAL ROAD,3
115 73 STREET,3
68 68 STREET,3
7505 COLONIAL ROAD,3
89 71 STREET,3
111 72 STREET,3
75 MACKAY PLACE,3
78 BAY RIDGE AVENUE,3
75 70 STREET,3
7501 COLONIAL ROAD,3
97 74 STREET,3
82 MACKAY PLACE,3
116 72 STREET,3
84 70 STREET,3
70 68 STREET,3
73 BAY RIDGE AVENUE,3
77 MACKAY PLACE,3
7224 COLONIAL ROAD,3
77 70 STREET,3
80 BAY RIDGE AVENUE,3
91 71 STREET,3
98 71 STREET,3
7222 COLONIAL ROAD,3
118 72 STREET,3
86 MACKAY PLACE,3
72 68 STREET,3
7218 COLONIAL ROAD,3
79 MACKAY PLACE,3
90 70 STREET,3
101 BAY RIDGE PARKWAY,3
93 71 STREET,3
79 70 STREET,3
82 BAY RIDGE AVENUE,3
75 BAY RIDGE AVENUE,3
7216 COLONIAL ROAD,3
122 76 STREET,3
7214 COLONIAL ROAD,3
117 72 STREET,3
74 68 STREET,3
100 71 STREET,3
131 76 STREET,3
7210 COLONIAL ROAD,3
95 71 STREET,3
81 MACKAY PLACE,3
81 70 STREET,3
84 BAY RIDGE AVENUE,3
103 BAY RIDGE PARKWAY,3
7208 COLONIAL ROAD,3
88 MACKAY PLACE,3
77 BAY RIDGE AVENUE,3
7204 COLONIAL ROAD,3
102 74 STREET,3
95A 71 STREET,3
83 MACKAY PLACE,3
76 68 STREET,3
7202 COLONIAL ROAD,3
83 70 STREET,3
102 71 STREET,3
86 BAY RIDGE AVENUE,3
105 BAY RIDGE PARKWAY,3
90 MACKAY PLACE,3
114 BAY RIDGE PARKWAY,3
96 70 STREET,3
97 71 STREET,3
81 BAY RIDGE AVENUE,3
78 68 STREET,3
104 74 STREET,3
7024 LOUISE TERRACE,3
85 70 STREET,3
90A MACKAY PLACE,3
88 BAY RIDGE AVENUE,3
107 BAY RIDGE PARKWAY,3
121 72 STREET,3
106 71 STREET,3
97A 71 STREET,3
7020 LOUISE TERRACE,3
118 BAY RIDGE PARKWAY,3
80 68 STREET,3
134 76 STREET,3
106 74 STREET,3
7120 COLONIAL ROAD,3
92 MACKAY PLACE,3
7018 LOUISE TERRACE,3
83 BAY RIDGE AVENUE,3
90 BAY RIDGE AVENUE,3
87 70 STREET,3
101 74 STREET,3
7116 COLONIAL ROAD,3
7016 LOUISE TERRACE,3
109 BAY RIDGE PARKWAY,3
99 71 STREET,3
7114 COLONIAL ROAD,3
